Nombre,Letra,Versos
Estaba la pájara pinta,"Me arrodillo a los pies de mi amante Fiel y constante Dame una mano Dame la otra Dame un besito Salada en la boca Daremos la media vuelta Daremos la vuelta entera Daremos un paso atrás Con toda la reverencia Pero no, pero no, pero no Que me da vergüenza Pero sí, pero sí, pero sí Por bonita te quiero yo a ti","Me arrodillo a los pies de mi amante
Fiel y constante
Dame una mano
Dame la otra
Dame un besito
Salada en la boca
Daremos la media vuelta
Daremos la vuelta entera
Daremos un paso atrás
Con toda la reverencia
Pero no, pero no, pero no
Que me da vergüenza
Pero sí, pero sí, pero sí
Por bonita te quiero yo a ti"
Estaba la pájara pinta,"Estaba la pájara pinta Pinta, repinta A la sombra de un verde limón Con el pico recoge la hoja Con la hoja recoge la flor ¡Ay de mi! ¡Viva el sol! Cuándo la veré yo Me arrodillo a los pies de mi amante Me arrodillo fiel y constante Dame la mano Dame la otra Dame un besito De tu linda boca Atrás con la trasera Alante con la delantera Y poquito más atrás Haciendo la reverencia Pero sí, pero sí, pero no Que a mí me da vergüenza Pero sí, pero sí, pero no Que a ti te quiero yo","Estaba la pájara pinta
Pinta, repinta
A la sombra de un verde limón
Con el pico recoge la hoja
Con la hoja recoge la flor
¡Ay de mi! ¡Viva el sol!
Cuándo la veré yo
Me arrodillo a los pies de mi amante
Me arrodillo fiel y constante
Dame la mano
Dame la otra
Dame un besito
De tu linda boca
Atrás con la trasera
Alante con la delantera
Y poquito más atrás
Haciendo la reverencia
Pero sí, pero sí, pero no
Que a mí me da vergüenza
Pero sí, pero sí, pero no
Que a ti te quiero yo"
Estando la pájara pinta,"Estando la pájara pinta Sentadita en su verde limón Con el pico picaba la hoja Con el pico picaba la flor Ay mi amor, ¿Cuándo la veré yo? Señora, señoritilla Haciendo la de Sevilla Echando un pasito atrás Haciendo la reverencia Pero no, pero no, pero no Pero no, que me da vergüenza Pero sí pero sí pero sí Pero sí que te quiero a tí Que te quiero a ti Que te quiero a ti","Estando la pájara pinta
Sentadita en su verde limón
Con el pico picaba la hoja
Con el pico picaba la flor
Ay mi amor,
¿Cuándo la veré yo?
Señora, señoritilla
Haciendo la de Sevilla
Echando un pasito atrás
Haciendo la reverencia
Pero no, pero no, pero no
Pero no, que me da vergüenza
Pero sí pero sí pero sí
Pero sí que te quiero a tí
Que te quiero a ti
Que te quiero a ti"
Estaba la pájara pinta,Estaba la pájara pinta Sentadita en el verde limón Con el pico picaba la hoja Con el pico picaba la flor Ay mi amor ¿Cuándo la veré yo?,"Estaba la pájara pinta
Sentadita en el verde limón
Con el pico picaba la hoja
Con el pico picaba la flor
Ay mi amor
¿Cuándo la veré yo?"
Estando la pájara pinta,"Estando la pájara pinta Sentadita en el verde limón Con el pico recoge la hoja Con el pico recoge la flor Ay, mi amor, ay, mi amor","Estando la pájara pinta
Sentadita en el verde limón
Con el pico recoge la hoja
Con el pico recoge la flor
Ay, mi amor, ay, mi amor"
"La Petenera ( Carl Sartorius, 1827)","La Petenera señores no hay quien la sepa cantar sólo los marineritos ay soledad soledad sólo los marineritos que navegan en la mar Yo soy la petenera, querida de un oficial yo soy la vela de cera, que te ha solido alumbrar ay soledad soledad, soledad del alma mía, quien tiene amores no duerme ni de noche ni de día Yo soy la petenera hija de la petenera, que quiere el señor Alcalde, que me vaya de esta tierra ay soledad, soledad, soledad de aquel que fue, a darle agua á su caballo, y bebió tanta como él.","La Petenera señores
no hay quien la sepa cantar
sólo los marineritos
ay soledad soledad
sólo los marineritos
que navegan en la mar
Yo soy la petenera,
querida de un oficial
yo soy la vela de cera,
que te ha solido alumbrar
ay soledad soledad,
soledad del alma mía,
quien tiene amores no duerme
ni de noche ni de día
Yo soy la petenera
hija de la petenera,
que quiere el señor Alcalde,
que me vaya de esta tierra
ay soledad, soledad,
soledad de aquel que fue,
a darle agua á su caballo,
y bebió tanta como él."
"La Petenera (F. M. Böhme, 183?)","La petenera, señor, nadie la sabe bailar (bis) sólo los marineritos, ¡Ay Soledad, Soledad! sólo los marineros que navegan por la mar. Que navegan por la mar, sólo los marineritos. ¡Ay Soledad Soledad, Soledad de la cañada! Contigo lo tengo todo y sin ti no tengo nada (bis) Antes de anoche soñaba que en tus brazos me dormía (bis) ¡Ojalá fuera verdad! ¡Ay Soledad, Soledad! ¡Ojalá fuera verdad lo que el sueño me decía! ¡Ay Soledad, Soledad, Soledad del horizonte! también se suele quemar en su propia leña, el monte. (bis) Trigueñita te hizo el cielo para mi condenación (bis) Delgadita de cintura. ¡Ay Soledad, Soledad! delgadita de cintura, alegre de corazón; alegre de corazón, delgadita de cintura. ¡Ay Soledad, Soledad, Soledad del cardo santo! ponga usted que sea trigueña, ¡pero si la quiero tanto! (bis)","La petenera, señor,
nadie la sabe bailar (bis)
sólo los marineritos,
¡Ay Soledad, Soledad!
sólo los marineros
que navegan por la mar.
Que navegan por la mar,
sólo los marineritos.
¡Ay Soledad Soledad,
Soledad de la cañada!
Contigo lo tengo todo
y sin ti no tengo nada (bis)
Antes de anoche soñaba
que en tus brazos me dormía (bis)
¡Ojalá fuera verdad!
¡Ay Soledad, Soledad!
¡Ojalá fuera verdad
lo que el sueño me decía!
¡Ay Soledad, Soledad,
Soledad del horizonte!
también se suele quemar
en su propia leña, el monte. (bis)
Trigueñita te hizo el cielo
para mi condenación (bis)
Delgadita de cintura.
¡Ay Soledad, Soledad!
delgadita de cintura,
alegre de corazón;
alegre de corazón,
delgadita de cintura.
¡Ay Soledad, Soledad,
Soledad del cardo santo!
ponga usted que sea trigueña,
¡pero si la quiero tanto! (bis)"
"La Petenera (Miguel Ríos Toledano, ca.1884)","Quién te puso Petenera, no te supo poner nombre, (bis) porque te debía de haber puesto Ay soledad soledad, porque te debía de haber puesto, la perdición de los hombres porque te debía de haber puesto, la perdición de los hombres Ingrata tirana y vil, la soga vas arrastrando No te descuides velando Ay soledad soledad no te descuides velando, y te apague yo el candil. y te apague yo el candil con que te estas alumbrando Petenera, Petenera Dame de tu pecho un ramo Quién te ha dicho picarón, Que Petenera me llamo?","Quién te puso Petenera,
no te supo poner nombre, (bis)
porque te debía de haber puesto
Ay soledad soledad,
porque te debía de haber puesto,
la perdición de los hombres
porque te debía de haber puesto,
la perdición de los hombres
Ingrata tirana y vil,
la soga vas arrastrando
No te descuides velando
Ay soledad soledad
no te descuides velando,
y te apague yo el candil.
y te apague yo el candil
con que te estas alumbrando
Petenera, Petenera
Dame de tu pecho un ramo
Quién te ha dicho picarón,
Que Petenera me llamo?"
"La Petenera (García Cubas, 1904)","La Petenera, señor, nadie la sabe bailar, solo los marineritos Que navegan por el mar. ¡Ay! Soledad, Soledad, Soledad de la cañada, contigo lo tengo todo, y sin ti, no tengo nada Trigueñita te hizo el cielo para mi condenación, delgadita de cintura, alegre de corazón. ¡Ay! Soledad, Soledad, Soledad del Cardo Santo, es verdad que eres trigueña, pero si te quiero tanto. Antes de anoche soñaba que en tus brazos me dormía, ojalá fuera verdad lo que el sueño me decía. ¡Ay! Soledad, Soledad, Soledad del horizonte, también se suele quemar, con su propia leña el monte Quien te puso Petenera no te supo poner nombre porque te debía haber puesto ¡Ay! Soledad, Soledad, la perdición de los hombres. Porque te debía haber puesto ¡Ay! Soledad, Soledad, la perdición de los hombres Ingrata, tirana y vil, la soga vas arrastrando, no te descuides velando. ¡Ay! Soledad, Soledad. Y te apague yo el candil con que te estás alumbrando; ¡Ay! Soledad, Soledad, con que te estás alumbrando","La Petenera, señor,
nadie la sabe bailar,
solo los marineritos
Que navegan por el mar.
¡Ay! Soledad, Soledad,
Soledad de la cañada,
contigo lo tengo todo,
y sin ti, no tengo nada
Trigueñita te hizo el cielo
para mi condenación,
delgadita de cintura,
alegre de corazón.
¡Ay! Soledad, Soledad,
Soledad del Cardo Santo,
es verdad que eres trigueña,
pero si te quiero tanto.
Antes de anoche soñaba
que en tus brazos me dormía,
ojalá fuera verdad
lo que el sueño me decía.
¡Ay! Soledad, Soledad,
Soledad del horizonte,
también se suele quemar,
con su propia leña el monte
Quien te puso Petenera
no te supo poner nombre
porque te debía haber puesto
¡Ay! Soledad, Soledad,
la perdición de los hombres.
Porque te debía haber puesto
¡Ay! Soledad, Soledad,
la perdición de los hombres
Ingrata, tirana y vil,
la soga vas arrastrando,
no te descuides velando.
¡Ay! Soledad, Soledad.
Y te apague yo el candil
con que te estás alumbrando;
¡Ay! Soledad, Soledad,
con que te estás alumbrando"
"La Petenera (21 sonecitos [s.a.], 1904)",La Petenera señores no hay quien la sepa bailar solo los marineritos solo los marineritos solo los marineritos que navegan en la mar.,"La Petenera señores
no hay quien la sepa bailar
solo los marineritos
solo los marineritos
solo los marineritos
que navegan en la mar."
"¡Ay Soledad, Soledad! (Vicente T. Mendoza, (1878)1942)","¡Ay Soledad, Soledad! Soledad del camposanto. ¿Cómo quiere que la olvide, ¡ay, Soledad, Soledad! Como quiere que la olvide; Pero si la quiero tanto? ¡Ay Soledad, Soledad! Soledad de la Barranca, la mujer que quiere a dos ¡ay, Soledad, Soledad! la mujer que quiere a dos relincha como potranca","¡Ay Soledad, Soledad!
Soledad del camposanto.
¿Cómo quiere que la olvide,
¡ay, Soledad, Soledad!
Como quiere que la olvide;
Pero si la quiero tanto?
¡Ay Soledad, Soledad!
Soledad de la Barranca,
la mujer que quiere a dos
¡ay, Soledad, Soledad!
la mujer que quiere a dos
relincha como potranca"
"La Petenera (Antonia García, (1890)1947)","Petenera, Petenera quien te puso Petenera no te supo poner nombre que mejor te hubiera puesto la perdición de los hombres.","Petenera, Petenera
quien te puso Petenera
no te supo poner nombre
que mejor te hubiera puesto
la perdición de los hombres."
"Petenera yucateca (Sin autor, (1902)1949)",Cuando un torero se muere y lo llevan a enterrar no cabe en el cementerio la gente que va detrás.,"Cuando un torero se muere
y lo llevan a enterrar
no cabe en el cementerio
la gente que va detrás."
"La Petenera (Vicente T. Mendoza, 1949)","Antenoche tuve un sueño que dos negros me mataban (bis) y eran tus divinos ojos, ¡Niña de mi corazón! y eran tus divinos ojos que enojados me miraban Al entrar a un camposanto pisé un hueso y sentí frío (bis) y oí la voz de mi madre ¡Niña de mi corazón! y oí la voz de mi madre: -¡No me ices, hijo mío! Dos besos tengo en el alma que no se partan de mí (bis) el último de mi madre ¡Niña de mi corazón! el ultimo de mi madre y el primero que te di.","Antenoche tuve un sueño
que dos negros me mataban (bis)
y eran tus divinos ojos,
¡Niña de mi corazón!
y eran tus divinos ojos
que enojados me miraban
Al entrar a un camposanto
pisé un hueso y sentí frío (bis)
y oí la voz de mi madre
¡Niña de mi corazón!
y oí la voz de mi madre:
-¡No me ices, hijo mío!
Dos besos tengo en el alma
que no se partan de mí (bis)
el último de mi madre
¡Niña de mi corazón!
el ultimo de mi madre
y el primero que te di."
"La Petenera (María Teresa Burgos, (1850)1947)","Quien te puso Petenera (bis) no te supo poner nombre mejor te hubieran puesto ¡Niña de mi corazón! mejor te hubieran puesto la perdición de los hombres. ¡Ay Soledad, Soledad! Ja ja ja ja ja já Al pasar por el panteón yo vide una calavera con su cigarro en la boca ¡Niña de mi corazón!, con su cigarro en la boca cantando la Petenera. ¡Ay Soledad, Soledad!, ja, ja, ja, ja, ja, já. Soledad de junto al río, tápame con tu rebozo ¡Niña de mi corazón! Tápame con tu rebozo que ya me muero de frío La Petenera, señor, nadie la sabe bailar, solo los marineritos Que navegan por el mar Señor Alcaice Mayor no prenda usté a los ladrones, que tienen tan buena suerte ¡Niña de mi corazón! Que tienen tan buena suerte que roban los corazones. ¡Ay Soledad, Soledad! Ja, ja, ja, ja , ja, já.","Quien te puso Petenera (bis)
no te supo poner nombre
mejor te hubieran puesto
¡Niña de mi corazón!
mejor te hubieran puesto
la perdición de los hombres.
¡Ay Soledad, Soledad!
Ja ja ja ja ja já
Al pasar por el panteón
yo vide una calavera
con su cigarro en la boca
¡Niña de mi corazón!,
con su cigarro en la boca
cantando la Petenera.
¡Ay Soledad, Soledad!,
ja, ja, ja, ja, ja, já.
Soledad de junto al río,
tápame con tu rebozo
¡Niña de mi corazón!
Tápame con tu rebozo
que ya me muero de frío
La Petenera, señor,
nadie la sabe bailar,
solo los marineritos
Que navegan por el mar
Señor Alcaice Mayor
no prenda usté a los ladrones,
que tienen tan buena suerte
¡Niña de mi corazón!
Que tienen tan buena suerte
que roban los corazones.
¡Ay Soledad, Soledad!
Ja, ja, ja, ja , ja, já."
"La Petenera (Max L. Wagner, 1914)","Petenera, Petenera, dame de tu palo un ramo Petenera, Petenera, dame de tu palo un ramo ¡Quién te ha dicho picarona, a-a-a-a-ay quién te ha dicho picarona que Petenera me llamo?","Petenera, Petenera,
dame de tu palo un ramo
Petenera, Petenera,
dame de tu palo un ramo
¡Quién te ha dicho picarona,
a-a-a-a-ay
quién te ha dicho picarona
que Petenera me llamo?"
"Petenera de Ana Judic (José Rivas, ca. 1886)","Señor Alcalde Mayor (bis) No prenda Uté a los ladrone porque tiene Uté una hija Niña de mi corazón porque tiene Uté una hija que roba lo corazones Señor Alcalde mayor No prenda Uté a los ladrone A la muger la comparo con un pavito real mucho viento y mucha pluma Niña de mi corazón y poco formalia. Entre México y España quiso Dios poner el mar para que entre ambos estremos Ay Soleá, uy, uy, uy, hubiera algo que admirar El amor es un marino y el buque la Sociedad el timón es el dinero Soleá Curripandu y las mugeres la mar Dos besos tengo en el alma que no se apartan de mi el último de mi madre Madre de mi corazón y el primero que te di Al pie de un árbol sin fruto me puse a considerar que pocos amigos tiene Soleá Curripandu El que no tiene que dar Un corazón sin amores Es una flor sin aroma Una noche sin estrellas Soleá Curripandu Y un arbolito sin hojas No te descuides soñando Porque te celan durmiendo Lo que a tí te está pasando Niña de mi corazón Sin querer lo estoy sabiendo","Señor Alcalde Mayor (bis)
No prenda Uté a los ladrone
porque tiene Uté una hija
Niña de mi corazón
porque tiene Uté una hija
que roba lo corazones
Señor Alcalde mayor
No prenda Uté a los ladrone
A la muger la comparo
con un pavito real
mucho viento y mucha pluma
Niña de mi corazón
y poco formalia.
Entre México y España
quiso Dios poner el mar
para que entre ambos estremos
Ay Soleá, uy, uy, uy,
hubiera algo que admirar
El amor es un marino
y el buque la Sociedad
el timón es el dinero
Soleá Curripandu
y las mugeres la mar
Dos besos tengo en el alma
que no se apartan de mi
el último de mi madre
Madre de mi corazón
y el primero que te di
Al pie de un árbol sin fruto
me puse a considerar
que pocos amigos tiene
Soleá Curripandu
El que no tiene que dar
Un corazón sin amores
Es una flor sin aroma
Una noche sin estrellas
Soleá Curripandu
Y un arbolito sin hojas
No te descuides soñando
Porque te celan durmiendo
Lo que a tí te está pasando
Niña de mi corazón
Sin querer lo estoy sabiendo"
"Petenera de salterio (Samuel Martí, ca.1960)",Y al pasar por un panteón me encontré una calavera con su purito en la boca cantando la petenera con su purito en la boca cantando la petenera Y al pasar por un panteón encontré una calavera con su purito en la boca cantando la petenera con su purito en la boca cantando la petenera Las peteneras señores son mujeres honradas porque salen a media noche llegan a la madrugada salen a media noche llegan a la madrugada Las peteneras señores son mujeres honradas salen a media noche llegan a la madrugada salen a media noche llegan a la madrugada Y una monja se empachó por beber agua bendita y del empacho salió una monja chiquitita y del empacho salió una monja chiquitita Y una monja se empachó por beber agua bendita y del empacho salió una monja chiquitita y del empacho salió una monja chiquitita,"Y al pasar por un panteón
me encontré una calavera
con su purito en la boca
cantando la petenera
con su purito en la boca
cantando la petenera
Y al pasar por un panteón
encontré una calavera
con su purito en la boca
cantando la petenera
con su purito en la boca
cantando la petenera
Las peteneras señores
son mujeres honradas
porque salen a media noche
llegan a la madrugada
salen a media noche
llegan a la madrugada
Las peteneras señores
son mujeres honradas
salen a media noche
llegan a la madrugada
salen a media noche
llegan a la madrugada
Y una monja se empachó
por beber agua bendita
y del empacho salió
una monja chiquitita
y del empacho salió
una monja chiquitita
Y una monja se empachó
por beber agua bendita
y del empacho salió
una monja chiquitita
y del empacho salió
una monja chiquitita"
"La Petenera (Primitivo Efrén Mayren Santos, 2003)",La Petenera señores la Petenera señores era una santa mujer que se iba a lavar de tarde y venía al amanecer la Petenera señores era una santa mujer Anoche y anoche y a la madrugada soñé vida mía que contigo estaba Anoche y anoche y a la madrugada soñé vida mía que contigo estaba Vida mía tu eres la aurora Vida mía tu eres la aurora cuando viene amaneciendo dame el alimento ahora no cuando me esté muriendo Vida mía tu eres la aurora cuando viene amaneciendo Anoche y anoche y a la madrugada soñé vida mía que contigo estaba Anoche y anoche y a la madrugada soñé vida mía que contigo estaba Apúrale vida mía apúrale vida mía regalame tu hermosura la fruta debe comerse cuando se encuentra madura apúrale vida mía regalame tu hermosura Anoche y anoche y a la madrugada soñé vida mía que contigo estaba Anoche y anoche y a la madrugada soñé vida mía que contigo estaba Te pusieron Petenera te pusieron Petenera siendo una mujer casada porque siempre andas de noche a punto de madrugada te pusieron Petenera siendo una mujer casada Anoche y anoche y a la madrugada soñé vida mía que contigo estaba Anoche y anoche y a la madrugada soñé vida mía que contigo estaba Ahí dele ahí dele señora ahí dele ahí dele señora ahí dele pa la frontera aquí se acaba cantando versos de la petenera ahí dele ahí dele señora ahí dele pa la frontera Anoche y anoche y a la madrugada soñé vida mía que contigo estaba Anoche y anoche y a la madrugada soñé vida mía que contigo estaba,"La Petenera señores
la Petenera señores
era una santa mujer
que se iba a lavar de tarde
y venía al amanecer
la Petenera señores
era una santa mujer
Anoche y anoche
y a la madrugada
soñé vida mía
que contigo estaba
Anoche y anoche
y a la madrugada
soñé vida mía
que contigo estaba
Vida mía tu eres la aurora
Vida mía tu eres la aurora
cuando viene amaneciendo
dame el alimento ahora
no cuando me esté muriendo
Vida mía tu eres la aurora
cuando viene amaneciendo
Anoche y anoche
y a la madrugada
soñé vida mía
que contigo estaba
Anoche y anoche
y a la madrugada
soñé vida mía
que contigo estaba
Apúrale vida mía
apúrale vida mía
regalame tu hermosura
la fruta debe comerse
cuando se encuentra madura
apúrale vida mía
regalame tu hermosura
Anoche y anoche
y a la madrugada
soñé vida mía
que contigo estaba
Anoche y anoche
y a la madrugada
soñé vida mía
que contigo estaba
Te pusieron Petenera
te pusieron Petenera
siendo una mujer casada
porque siempre andas de noche
a punto de madrugada
te pusieron Petenera
siendo una mujer casada
Anoche y anoche
y a la madrugada
soñé vida mía
que contigo estaba
Anoche y anoche
y a la madrugada
soñé vida mía
que contigo estaba
Ahí dele ahí dele señora
ahí dele ahí dele señora
ahí dele pa la frontera
aquí se acaba cantando
versos de la petenera
ahí dele ahí dele señora
ahí dele pa la frontera
Anoche y anoche
y a la madrugada
soñé vida mía
que contigo estaba
Anoche y anoche
y a la madrugada
soñé vida mía
que contigo estaba"
"La Petenera (Benjamín Betanzas, (1972) 2004)",Vi a mi madre llorar un día cuando supo que yo amaba Vi a mi madre llorar un día cuando supo que yo amaba quien sabe quien le diría que eras tú a quien yo adoraba después que lo supo todo la vi llorar de alegría después que lo supo todo la vi llorar de alegría Ay Soledad soledad soledad de la ladera aquí empiezo a cantar mi adorada petenera Dos besos tengo en el alma que no se apartan de mí Dos besos tengo en el alma que no se apartan de mí el último de mi madre y el primero que te di y el último de mi madre y el primero que te di Petenera Petenera Petenera que haré sin ti recuerdo de tus caricias y del beso que te di recuerdo de tus caricias y del beso que te di,"Vi a mi madre llorar un día
cuando supo que yo amaba
Vi a mi madre llorar un día
cuando supo que yo amaba
quien sabe quien le diría
que eras tú a quien yo adoraba
después que lo supo todo
la vi llorar de alegría
después que lo supo todo
la vi llorar de alegría
Ay Soledad soledad
soledad de la ladera
aquí empiezo a cantar
mi adorada petenera
Dos besos tengo en el alma
que no se apartan de mí
Dos besos tengo en el alma
que no se apartan de mí
el último de mi madre
y el primero que te di
y el último de mi madre
y el primero que te di
Petenera Petenera
Petenera que haré sin ti
recuerdo de tus caricias
y del beso que te di
recuerdo de tus caricias
y del beso que te di"
"La Petenera (Margarita Chacón, 2002)",Quien te puso Petenera Quien te puso Petenera no supo ponerte nombre Quien te puso Petenera no supo ponerte nombre mejor te hubieran llamado Ay Soledad Soledad mejor te hubieran llamado la perdición de los hombres Quien te puso Petenera no supo ponerte nombre Una vela se consume Una vela se consume a fuerza de tanto arder Una vela se consume a fuerza de tanto arder así se consume mi alma Ay Soledad soledad así se consume mi alma por una mala mujer Una vela se consume a fuerza de tanto arder Dos besos traigo en el alma que no se apartan de mí Dos besos traigo en el alma que no se apartan de mí y el último de mi madre y el primero que te di y el último de mi madre y el primero que te di Petenera Petenera Petenera que haré sin ti recuerdo de tus caricias y del beso que te di recuerdo de tus caricias y del beso que te di,"Quien te puso Petenera
Quien te puso Petenera
no supo ponerte nombre
Quien te puso Petenera
no supo ponerte nombre
mejor te hubieran llamado
Ay Soledad Soledad
mejor te hubieran llamado
la perdición de los hombres
Quien te puso Petenera
no supo ponerte nombre
Una vela se consume
Una vela se consume
a fuerza de tanto arder
Una vela se consume
a fuerza de tanto arder
así se consume mi alma
Ay Soledad soledad
así se consume mi alma
por una mala mujer
Una vela se consume
a fuerza de tanto arder
Dos besos traigo en el alma
que no se apartan de mí
Dos besos traigo en el alma
que no se apartan de mí
y el último de mi madre
y el primero que te di
y el último de mi madre
y el primero que te di
Petenera Petenera
Petenera que haré sin ti
recuerdo de tus caricias
y del beso que te di
recuerdo de tus caricias
y del beso que te di"
"La Petenera (Los Folkloristas, 2006)",Vi a mi madre llorar un día cuando supo que yo amaba Vi a mi madre llorar un día cuando supo que yo amaba quien sabe quien le diría que eras tú a quien yo adoraba después que lo supo todo la vi llorar de alegría después que lo supo todo la vi llorar de alegría Petenera petenera Petenera desde mi cuna mi madre me dijo a solas que amara nomás a una mi madre me dijo a solas que amara nomás a una Dos besos traigo en el alma que no se apartan de mí Dos besos traigo en el alma que no se apartan de mí el último de mi madre y el primero que te di el último de mi madre y el primero que te di Petenera Petenera Petenera que haré sin ti recuerdo de tus caricias y del beso que te di recuerdo de tus caricias y del beso que te di,"Vi a mi madre llorar un día
cuando supo que yo amaba
Vi a mi madre llorar un día
cuando supo que yo amaba
quien sabe quien le diría
que eras tú a quien yo adoraba
después que lo supo todo
la vi llorar de alegría
después que lo supo todo
la vi llorar de alegría
Petenera petenera
Petenera desde mi cuna
mi madre me dijo a solas
que amara nomás a una
mi madre me dijo a solas
que amara nomás a una
Dos besos traigo en el alma
que no se apartan de mí
Dos besos traigo en el alma
que no se apartan de mí
el último de mi madre
y el primero que te di
el último de mi madre
y el primero que te di
Petenera Petenera
Petenera que haré sin ti
recuerdo de tus caricias
y del beso que te di
recuerdo de tus caricias
y del beso que te di"
"La Petenera (Mario López, 2005)",Vi a mi madre llorar un día cuando supo que yo amaba Vi a mi madre llorar un día cuando supo que yo amaba quien sabe quien le diría que eras tú a quien yo adoraba después que lo supo todo la vi llorar de alegría después que lo supo todo la vi llorar de alegría Petenera petenera Petenera desde mi cuna mi madre me dijo a solas que amara nomás a una mi madre me dijo a solas que amara nomás a una Dos besos traigo en el alma que no se apartan de mí Dos besos traigo en el alma que no se apartan de mí el último de mi madre y el primero que te di el último de mi madre y el primero que te di Ay Soledad soledad solita de la cantera aquí termino cantando versos de la petenera aquí termino cantando versos de la petenera,"Vi a mi madre llorar un día
cuando supo que yo amaba
Vi a mi madre llorar un día
cuando supo que yo amaba
quien sabe quien le diría
que eras tú a quien yo adoraba
después que lo supo todo
la vi llorar de alegría
después que lo supo todo
la vi llorar de alegría
Petenera petenera
Petenera desde mi cuna
mi madre me dijo a solas
que amara nomás a una
mi madre me dijo a solas
que amara nomás a una
Dos besos traigo en el alma
que no se apartan de mí
Dos besos traigo en el alma
que no se apartan de mí
el último de mi madre
y el primero que te di
el último de mi madre
y el primero que te di
Ay Soledad soledad
solita de la cantera
aquí termino cantando
versos de la petenera
aquí termino cantando
versos de la petenera"
"La Petenera (Gerónimo Baqueiro Foster, [s.f.])",Quién te puso Petenera no supo ponerte nombre Quién te puso Petenera no supo ponerte nombre valía más te hubiera puesto Ay hermosa Soledad valía más te hubiera puesto la perdición de los hombres valía más te hubiera puesto la perdición de los hombres Ay Soledad soledad Soledad de la ladera aquí comienzo a cantar la adorada petenera aquí comienzo a cantar la adorada petenera,"Quién te puso Petenera
no supo ponerte nombre
Quién te puso Petenera
no supo ponerte nombre
valía más te hubiera puesto
Ay hermosa Soledad
valía más te hubiera puesto
la perdición de los hombres
valía más te hubiera puesto
la perdición de los hombres
Ay Soledad soledad
Soledad de la ladera
aquí comienzo a cantar
la adorada petenera
aquí comienzo a cantar
la adorada petenera"
"La Petenera (Trío Montalbán, [s.f.])",Vi a mi madre llorar un día cuando supo que yo amaba Vi a mi madre llorar un día cuando supo que yo amaba quien sabe quien le diría que eras tú a quien yo adoraba después que lo supo todo la vi llorar de alegría Petenera petenera Petenera desde mi cuna mi madre me dijo a solas que amara nomás a una Una vela se consume a fuerza de tanto arder Una vela se consume a fuerza de tanto arder así se consume mi alma por una ingrata mujer así se consume mi alma por una ingrata mujer Petenera petenera Petenera desde mi cuna por qué no sales a verme en esta noche de luna Ay Soledad soledad que soledad y que pena aquí termino cantando versos de la petenera,"Vi a mi madre llorar un día
cuando supo que yo amaba
Vi a mi madre llorar un día
cuando supo que yo amaba
quien sabe quien le diría
que eras tú a quien yo adoraba
después que lo supo todo
la vi llorar de alegría
Petenera petenera
Petenera desde mi cuna
mi madre me dijo a solas
que amara nomás a una
Una vela se consume
a fuerza de tanto arder
Una vela se consume
a fuerza de tanto arder
así se consume mi alma
por una ingrata mujer
así se consume mi alma
por una ingrata mujer
Petenera petenera
Petenera desde mi cuna
por qué no sales a verme
en esta noche de luna
Ay Soledad soledad
que soledad y que pena
aquí termino cantando
versos de la petenera"
"La Petenera (Trío Fantasía, [s.f.])",Vi a mi madre llorar un día cuando supo que yo amaba Vi a mi madre llorar un día cuando supo que yo amaba quien sabe quien le diría que eras tú a quien yo adoraba después que lo supo todo la vi llorar de alegría Petenera petenera Petenera desde mi cuna mi madre me dijo a solas que amara nomás a una Una vela se consume a fuerza de tanto arder Una vela se consume a fuerza de tanto arder así se consume mi alma por una ingrata mujer así se consume mi alma por una ingrata mujer Petenera petenera Petenera desde mi cuna por qué no sales a verme en esta noche de luna Ay Soledad soledad que soledad y que pena aquí termino cantando versos de la petenera,"Vi a mi madre llorar un día
cuando supo que yo amaba
Vi a mi madre llorar un día
cuando supo que yo amaba
quien sabe quien le diría
que eras tú a quien yo adoraba
después que lo supo todo
la vi llorar de alegría
Petenera petenera
Petenera desde mi cuna
mi madre me dijo a solas
que amara nomás a una
Una vela se consume
a fuerza de tanto arder
Una vela se consume
a fuerza de tanto arder
así se consume mi alma
por una ingrata mujer
así se consume mi alma
por una ingrata mujer
Petenera petenera
Petenera desde mi cuna
por qué no sales a verme
en esta noche de luna
Ay Soledad soledad
que soledad y que pena
aquí termino cantando
versos de la petenera"
